Unnamed: 0,"AUT Crop and animal production, hunting and related service activities",AUT Forestry and logging,AUT Fishing and aquaculture,AUT Mining and quarrying,"AUT Manufacture of food products, beverages and tobacco products","AUT Manufacture of textiles, wearing apparel and leather products","AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",AUT Manufacture of paper and paper products,AUT Printing and reproduction of recorded media,AUT Manufacture of coke and refined petroleum products ,AUT Manufacture of chemicals and chemical products ,AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,AUT Manufacture of rubber and plastic products,AUT Manufacture of other non-metallic mineral products,AUT Manufacture of basic metals,"AUT Manufacture of fabricated metal products, except machinery and equipment","AUT Manufacture of computer, electronic and optical products",AUT Manufacture of electrical equipment,AUT Manufacture of machinery and equipment n.e.c.,"AUT Manufacture of motor vehicles, trailers and semi-trailers",AUT Manufacture of other transport equipment,AUT Manufacture of furniture; other manufacturing,AUT Repair and installation of machinery and equipment,"AUT Electricity, gas, steam and air conditioning supply","AUT Water collection, treatment and supply","AUT Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ",AUT Construction,AUT Wholesale and retail trade and repair of motor vehicles and motorcycles,"AUT Wholesale trade, except of motor vehicles and motorcycles","AUT Retail trade, except of motor vehicles and motorcycles",AUT Land transport and transport via pipelines,AUT Water transport,AUT Air transport,AUT Warehousing and support activities for transportation,AUT Postal and courier activities,AUT Accommodation and food service activities,AUT Publishing activities,"AUT Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities",AUT Telecommunications,"AUT Computer programming, consultancy and related activities; information service activities","AUT Financial service activities, except insurance and pension funding","AUT Insurance, reinsurance and pension funding, except compulsory social security",AUT Activities auxiliary to financial services and insurance activities,AUT Real estate activities,AUT Legal and accounting activities; activities of head offices; management consultancy activities,AUT Architectural and engineering activities; technical testing and analysis,AUT Scientific research and development,AUT Advertising and market research,"AUT Other professional, scientific and technical activities; veterinary activities",AUT Administrative and support service activities,AUT Public administration and defence; compulsory social security,AUT Education,AUT Human health and social work activities,AUT Other service activities,AUT Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,AUT Activities of extraterritorial organizations and bodies
"AUT Crop and animal production, hunting and related service activities",0.3952256558470431,0.22914393413351852,0.12316488950703139,0.0019907205456636398,0.42293639244294085,0.12559750084685162,0.0006456579502843379,0.0005423544964577472,0.0005329543435779002,0.0003052757194793661,0.01447353246453696,0.004271193771626298,0.010776789150761848,0.0007214163157073781,0.0004514098889444021,0.0004388563403769776,0.0006213385407420558,0.000295059854999157,0.00029626703535453285,0.0004023761369773081,0.00045637472513794964,0.0018380851237643984,0.0,0.0005760082627392172,0.002329838575470128,0.0004428697962798937,0.0032894695870414083,0.000966751336391553,0.00735917366992792,0.027685415469239322,0.0012755323395172067,0.0006734006734006734,0.0007232584697373429,0.001906394996973976,0.0012299492645928356,0.038517838179156744,0.0005314751387740641,0.014402328047547411,0.0016167156115380285,0.001323745125398018,0.0008996633517780444,0.000599575684899917,0.00043656390623950564,0.005867962220678527,0.0018324158258347242,0.0,0.0,0.0,0.0,0.009882461662864238,0.003561033588829304,0.005881307017903792,0.009024829734599765,0.018499368969588405,0.006426276329882185,0.0
AUT Forestry and logging,0.0043741662961316145,0.042356909036801914,0.0015453562046051617,0.00024586588412578816,2.5198596438178392e-05,3.763784862057285e-05,0.24505202513099408,0.06270973865292702,0.0011103215491206253,0.0002960249401012035,0.014516780071502708,0.008758650519031142,0.00507143018859381,5.84932147870847e-05,0.0001490090895544628,4.388563403769776e-05,8.876264867743654e-05,4.215140785702243e-05,4.9377839225755484e-05,7.412191996950412e-05,4.148861137617724e-05,0.008128420880647006,0.0,5.958706166267765e-05,5.547234703500304e-05,0.0,0.00039981815124585083,5.686772567009136e-05,0.0001544112332529519,0.00014503419046749355,0.00023428145011540535,0.0,0.00017129805862200228,0.00022190841234617713,0.00010249577204940297,0.0001205476306650211,0.00020668477618991378,7.398456188808601e-05,0.0001330209047467998,0.00011925631760342506,7.739039585187479e-05,6.149494204101714e-05,0.0001007455168245013,0.0002416219737926452,0.00015205152597351965,0.0,0.0,0.0,0.0,0.0002541369451584024,8.890885438601416e-05,9.574220726820125e-05,9.162263689948999e-05,0.00014656190204779548,0.00010200438618860611,0.0
AUT Fishing and aquaculture,0.0007447754557581148,0.0,0.016226240148354196,4.7586945314668674e-05,0.01107163331002463,0.01016221912755467,4.9665996175718304e-05,3.38971560286092e-05,8.882572392965004e-05,4.625389689081305e-05,2.883173797716526e-05,0.00010813148788927337,4.528062668387331e-05,3.899547652472314e-05,1.3147860843040836e-05,3.291422552827332e-05,4.438132433871827e-05,4.215140785702243e-05,2.4688919612877742e-05,5.29442285496458e-05,4.148861137617724e-05,0.001633853443346132,0.0,2.9793530831338823e-05,2.773617351750152e-05,0.0,5.72948129511188e-05,5.686772567009136e-05,0.0003449612657778712,0.005715421431756042,2.6031272235045035e-05,0.0,0.00011419870574800152,0.00013112769820455923,5.124788602470148e-05,0.020837519014953648,0.00014763198299279557,4.932304125872401e-05,4.092950915286148e-05,8.347942232239753e-05,4.836899740742174e-05,1.5373735510254285e-05,6.716367788300088e-05,8.197888396536177e-05,0.00010916519813483462,0.0,0.0,0.0,0.0,0.0001097409535911283,0.00016845888199455315,6.838729090585804e-05,7.635219741624166e-05,0.0008386597728290519,0.00010200438618860611,0.0
AUT Mining and quarrying,0.0006002667852378835,0.0001983930165658169,0.0003090712409210324,0.06761311813459174,0.0012000831553682458,0.0008656705182731756,0.0011174849139536616,0.0022372122978882073,0.0009326701012613253,0.5383768582503076,0.020023642025141272,0.0025951557093425604,0.0008150512803097196,0.04289502417719545,0.26341739199032316,0.001371426063678055,0.0014202023788389847,0.002360478839993256,0.0021726249259332413,0.0009318184224737662,0.0011616811185329624,0.0009394657299240258,0.0,0.052784205456188615,0.0017751151051200974,0.0004428697962798937,0.0015556787255640737,0.0009477954278348561,0.01525385863815863,0.0015685179117225227,0.004078232650157056,0.0003367003367003367,0.000475827940616673,0.0010187613475892677,0.0009224619484446267,0.00142935047788525,0.0007086335183654187,0.0011344299489506522,0.0014223004430619364,0.0019558036086961706,0.0001451069922222652,0.00010761614857177997,0.0007723822956545099,0.0010916135601703437,0.002448419443881291,0.0,0.0,0.0,0.0,0.0011724954515262658,0.0011090209731308082,0.0008343249490514681,0.0016492074641908199,0.001188779872165452,0.0012240526342632732,0.0
"AUT Manufacture of food products, beverages and tobacco products",0.05844819919964428,0.00902688225374467,0.09210322979446764,0.004259031605662847,0.21588897498409337,0.08701870601076443,0.0027316297896645063,0.004474424595776415,0.004352460472552852,0.0019426636694141479,0.02953811555760581,0.04990268166089965,0.011455998551019947,0.0027881765715177045,0.0011657769947496209,0.0022930243784697077,0.005991478785726967,0.003414264036418817,0.004666205806833893,0.00441554866104046,0.006347757540555117,0.007270647822890288,0.0,0.0016386441957236353,0.00618516669440284,0.023029229406554472,0.002239479862741557,0.012264472836183038,0.01709693740102897,0.12971965428146304,0.0024209083178591885,0.0014141414141414141,0.0027027027027027024,0.0026326407101069198,0.00794342233382873,0.33917510978444937,0.004753749852368018,0.008952131988458407,0.008104042812266572,0.007882842593586395,0.003289091823704678,0.00024597976816406855,0.0007891732151252603,0.002985757247580545,0.006276998892752991,0.0,0.0,0.0,0.0,0.006197475958067404,0.014403234410534295,0.024250133355217265,0.03432794795834225,0.039392582339290806,0.03090732901514765,0.0
"AUT Manufacture of textiles, wearing apparel and leather products",0.001689639839928857,0.005257414938994147,0.012671920877762324,0.0018479597097196337,0.002538758591146473,0.23632805148857694,0.0032779557475974075,0.005762516524863564,0.009282288150648427,0.0005272944245552687,0.004483335255449198,0.003460207612456748,0.011931445131200617,0.002749181094992981,0.0012621946409319203,0.004256906501656682,0.004926327001597728,0.003034901365705615,0.003110803871222595,0.004754391723758193,0.008961540057254283,0.029409361980230374,0.0,0.001420158302960484,0.0011926554612525654,0.018600531443755536,0.002190903825674304,0.004435682602267126,0.003801144614333305,0.0037332874953669637,0.0025944501327594886,0.0011447811447811449,0.0017700799390940238,0.002087956425257212,0.005227284374519551,0.00594127608277604,0.0040746427306011575,0.0025894596660830105,0.00262972096307135,0.0024686057743908986,0.00028054018496304604,3.074747102050857e-05,8.395459735375109e-05,0.0007550686681020163,0.0013957550332953854,0.0,0.0,0.0,0.0,0.0021948190718225663,0.004960178192061843,0.005812919726997934,0.018324527379898,0.006261450148597484,0.01907482021726934,0.0
"AUT Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.001678523788350378,0.011010812419402837,0.020244166280327616,0.002300035690208986,0.0012851284183470978,0.009334186457902068,0.1890536144428717,0.012914816446900106,0.006883993604547878,0.001137845863514001,0.0015280821127897587,0.0019463667820069205,0.006339287735742263,0.0033926064576509127,0.0011657769947496209,0.020746933491321614,0.0028847860820166876,0.0022761760242792114,0.003999604977286193,0.00227660182763477,0.034269592996722394,0.19883996405522428,0.0,0.00044690296247008236,0.0061296943473678365,0.002657218777679362,0.03518026069139893,0.0018387231299996205,0.00673167270075103,0.009094180905980244,0.0024035541363691586,0.0007407407407407408,0.0006471259992386752,0.00577970546701634,0.0035361041357044026,0.0018139548233403176,0.002805007676863116,0.004907642605243039,0.0030901779410410415,0.0010971581219515103,0.00012575939325929652,3.074747102050857e-05,0.00011753643629525151,0.0036674763879240794,0.0006549911888090078,0.0,0.0,0.0,0.0,0.0017558552574580529,0.003663980683381531,0.015305075704731032,0.0024738111962862297,0.005259943817937548,0.001938083337583516,0.0
AUT Manufacture of paper and paper products,0.0021509559804357495,0.0004959825414145423,0.0007726781023025809,0.0022127929571320935,0.01860601364503997,0.005758590838947647,0.004916933621396112,0.18992576522829735,0.14367560845620891,0.0004162850720173174,0.009918117864144848,0.030222750865051905,0.01319930267834907,0.013180471065356419,0.0008414630939546135,0.002589252408224168,0.005947097461388248,0.004046535154274153,0.0033576930673513724,0.0020118806848865405,0.0026967597394515204,0.004574789641369169,0.0,0.002433138351226004,0.0010817107671825593,0.0070859167404783,0.003364201951760259,0.0020282822155665917,0.010545958696637778,0.010453204987027497,0.002099855960293633,0.0014814814814814816,0.0041492196421773885,0.0011095420617308856,0.0063034899810382825,0.006670302230131167,0.07160151175150585,0.0019235986090902365,0.005065026757666608,0.003685020213945834,0.0013543319274078086,3.074747102050857e-05,0.00013432735576600176,0.000785271414826097,0.002483508257567488,0.0,0.0,0.0,0.0,0.002864816472694718,0.007618084996864794,0.015441850286542748,0.021531319671380146,0.003712901518544152,0.009486407915540368,0.0
AUT Printing and reproduction of recorded media,0.0008337038683859493,0.0016863406408094436,0.0012362849636841295,0.002760042828250783,0.004475900692331437,0.006473709962738531,0.0027564627877523654,0.0442018914613064,0.04054894297388524,0.00036078039574834176,0.005636604774535809,0.007947664359861592,0.006927935882632617,0.005634846357822493,0.0011833074758736753,0.0037083360761854603,0.006213385407420558,0.005606137244983983,0.008888011060635987,0.004479081735300035,0.004190349748993901,0.005024099338289356,0.0,0.0034957742842104222,0.0021079491873301154,0.020814880425155006,0.002890896975207538,0.004075520339689881,0.021666852836238672,0.03944929980715824,0.002099855960293633,0.0015488215488215487,0.0012561857632280168,0.0009784143635263264,0.02254906985086865,0.008960707212766568,0.04411243651824732,0.022565291375866235,0.01873548281472234,0.020225871465540887,0.004121038579112332,0.00012298988408203428,0.0001847001141782524,0.0031712884060284686,0.008113313475663958,0.0,0.0,0.0,0.0,0.011794264591214947,0.023106943313586207,0.030651183784005574,0.010368628409125618,0.019720718153320032,0.02585811189881165,0.0
AUT Manufacture of coke and refined petroleum products ,0.03598821698532681,0.09661739906755283,0.12393756760933397,0.13452829440456834,0.003181322800320022,0.0031992171327486925,0.011522511112766644,0.011355547269584083,0.0054627820216734775,0.08597674354064329,0.05225752508361203,0.005298442906574395,0.03425479408635016,0.0151692403681173,0.008958075854391824,0.007306958067276676,0.005148233623291319,0.005353228797841849,0.0047402725656725255,0.004627325575239044,0.007260506990831016,0.004452250633118209,0.0,0.015840227225328476,0.05746935152826315,0.26970770593445526,0.010750250664806662,0.02473746066648974,0.005496382834727415,0.0031424074601290267,0.22746993388056855,0.111986531986532,0.22883517320137037,0.011287068791607829,0.10182954953108184,0.003662351826870641,0.003395535608834298,0.0033046437643345088,0.028660888784291252,0.0037565740045078892,0.0004449947761482799,7.686867755127142e-05,0.0002014910336490026,0.0016136896106865948,0.003060524304851614,0.0,0.0,0.0,0.0,0.004430069021283969,0.01724363833749801,0.004130592370713826,0.012872980484378342,0.0063835850669706476,0.012495537308104248,0.0
AUT Manufacture of chemicals and chemical products ,0.039928857269897734,0.034024402341037596,0.008808530366249422,0.022627592497124958,0.003971928763567869,0.013135609168579926,0.015619955797263404,0.04921867055354055,0.045567596375910464,0.03240548016170362,0.2377753430976819,0.05617430795847751,0.262718196019833,0.027043362969895495,0.00550895369323411,0.009402497092576744,0.026362506657198654,0.026260327094924974,0.006937586411218645,0.012293649869227756,0.018379454839646515,0.01858508291806225,0.0,0.005174143187709176,0.03755477894269706,0.011957484499557131,0.010461285521227106,0.006160670280926564,0.005933333771379385,0.0039803827828301,0.005726879891709908,0.0015488215488215487,0.003083365055196041,0.003066370788783538,0.00415107876800082,0.007158233116156253,0.0024211645210818473,0.007571086833214136,0.003325522618669995,0.00618940288361776,0.00031923538288898345,7.686867755127142e-05,0.000537309423064007,0.003279155358614471,0.005212638210938353,0.0,0.0,0.0,0.0,0.013827360152482168,0.0064295139961254456,0.00620956601425191,0.021622942308279637,0.01697675365386964,0.03769062069668996,0.0
AUT Manufacture of basic pharmaceutical products and pharmaceutical preparations,0.026900844819919965,0.0011903580993949015,0.000927213722763097,0.0013403656263631675,0.0009827452610889572,0.0019571681282697885,0.0010181529216022251,0.00850818616318091,0.004085983300763901,0.001017585731597887,0.006184407796101948,0.09715614186851211,0.006112884602322896,0.0014233348931523945,0.0005609753959697424,0.0008777126807539552,0.001819634297887449,0.0013066936435676955,0.0009134900256764764,0.0012388949480617118,0.0013276355640376716,0.001225390082509599,0.0,0.0004766964933014212,0.001164919287735064,0.0008857395925597874,0.000772234435428123,0.0015543845016491638,0.0014751200793739446,0.0013912539011511416,0.0006334276243860959,0.0026262626262626263,0.0008755234107346783,0.0008775469033689731,0.0008199661763952237,0.001216957033380213,0.002066847761899138,0.0030087055167821643,0.0007367311647515066,0.0015384064970841833,0.00019347598962968695,9.22424130615257e-05,0.0004197729867687554,0.0006644604279297744,0.001458135146515291,0.0,0.0,0.0,0.0,0.0020330955612672193,0.0007955002760853899,0.005197434108845211,0.02780747029899521,0.025436632333184054,0.00249910746162085,0.0
AUT Manufacture of rubber and plastic products,0.005847043130280125,0.0068445590715206835,0.019935095039406586,0.005353531347900226,0.021686542059607277,0.018630735067183563,0.018227420596488617,0.047286532659909834,0.13092911707230415,0.006235025300881599,0.055529927344020284,0.04974048442906575,0.08198057461115263,0.0096903759163937,0.0032124606659829774,0.008711298356483006,0.04131901295934671,0.02027482717922779,0.022565672526170255,0.048391024894376265,0.027963324067543458,0.05759333387795115,0.0,0.0027310736595393924,0.01766794253064847,0.006643046944198406,0.01740641328243229,0.01863365811123327,0.01070365527527909,0.007928535745556313,0.012772677576662098,0.0018181818181818184,0.009649790635706128,0.00761549324188017,0.02254906985086865,0.008369449786171466,0.008592181410180703,0.0024661520629362006,0.014857411822488715,0.006785684471634885,0.00025151878651859304,4.612120653076285e-05,0.0002014910336490026,0.006157045653609013,0.00275252249582833,0.0,0.0,0.0,0.0,0.005111618101481503,0.011380333361409813,0.007303762668745639,0.010872552912072812,0.009135691894312584,0.00984342326720049,0.0
AUT Manufacture of other non-metallic mineral products,0.002562249888839484,0.022914393413351854,0.0044815329933549685,0.003346948487131697,0.0068571680557392945,0.0026346494034400997,0.009809034244704364,0.003491407070946748,0.0045745247823769765,0.0009713318347070739,0.012642717102986966,0.014381487889273358,0.014059634585342663,0.30116206520043676,0.0052372312358112665,0.01979242095100169,0.011938576247115215,0.01664980610352386,0.010887813549279084,0.01562913626785544,0.01140936812844874,0.015072298014868066,0.0,0.010854776399551111,0.014838852831863314,0.004871567759078831,0.05234877594614287,0.011430412859688363,0.005299262111425775,0.002621358701782846,0.0015531992433576872,0.00040404040404040404,0.0009135896459840122,0.001089368569699415,0.0013324450366422385,0.005017077581010878,0.0010629502775481281,0.0010604453870625662,0.001135793878991906,0.001085232490191168,0.0002031497891111713,4.612120653076285e-05,0.00025186379206125324,0.0037623993061997618,0.0013099823776180155,0.0,0.0,0.0,0.0,0.0024547318566436596,0.002700021525301588,0.0025029748471544046,0.007421433588858689,0.007344379758172862,0.006426276329882185,0.0
AUT Manufacture of basic metals,0.0017174299688750554,0.004860628905862515,0.004945139854736518,0.020977911726216443,0.0017450028033438535,0.01674884263615492,0.017134768680622813,0.009084437815667265,0.02202877953455321,0.006642059593520753,0.013334678814438932,0.004541522491349481,0.02592315877651747,0.02801824988301357,0.36954254209506776,0.42654642002940335,0.22390378128883368,0.38627550160175356,0.2926871420106656,0.15612194114719555,0.22988839563539806,0.23870598807286988,0.0,0.0053529043726972085,0.014089976146890773,0.00354295837023915,0.0337516269858569,0.008378511582060127,0.01477748355684633,0.004925790839210799,0.0030543359422452844,0.0006734006734006734,0.001161020175104682,0.0015836191244704458,0.0040998308819761185,0.0026807496914554693,0.0014467934333293967,0.002293521418530667,0.0029673894135824573,0.0029694823083252836,0.00022249738807413996,0.00013836361959228854,0.0009738733293035126,0.007658553633606166,0.0036843254370506687,0.0,0.0,0.0,0.0,0.002864816472694718,0.004239548530196254,0.003132137923488298,0.004626943163424244,0.020705939828196882,0.004437190799204366,0.0
